/Users/mac/workspace/magic-tao/monster_scraper_v2.py:28: SyntaxWarning: invalid escape sequence '\s'
  const rankMatch = bodyText.match(/总档位[：:]\s*(\d+)/);
[129/364] 采集: 恶魔 ✗
[130/364] 采集: 黑暗大公鸡 ✗
[131/364] 采集: 大公鸡（时长） ✗
[132/364] 采集: 沼泽树精 ✗
[133/364] 采集: iGame.Crossgate.Controllers.MonsterController.Detail() ✗
[134/364] 采集: 舞蹈花妖 ✗
[135/364] 采集: 武术仙人掌 ✗
[136/364] 采集: 兔耳仙人掌 ✗
[137/364] 采集: 死亡树精 ✗
[138/364] 采集: 树精 ✗
[139/364] 采集: 快枯死的树精 ✗
[140/364] 采集: 火焰舞者 ✗
[141/364] 采集: 黄色口臭鬼 ✗
[142/364] 采集: 惨白树精 ✗
[143/364] 采集: 泰坦巨人 ✗
[144/364] 采集: iGame.Crossgate.Controllers.MonsterController.Detail() ✗
[145/364] 采集: 影舞者（女） ✗
[146/364] 采集: 鸟人 ✗
[147/364] 采集: 火焰哥布林 ✗
[148/364] 采集: 巨人 ✗
[149/364] 采集: 烈风鸟人 ✗
[150/364] 采集: 狠毒鸟人 ✗

进度保存: 3 成功, 147 失败
[151/364] 采集: 幻歌妖 ✗
[152/364] 采集: 鸟人酋长 ✗
[153/364] 采集: 水蜘蛛 ✗
[154/364] 采集: 杀手蝎 ✗
[155/364] 采集: 蓝蝎 ✗
[156/364] 采集: 堀地虫 ✗
[157/364] 采集: 甲虫 ✗
[158/364] 采集: iGame.Crossgate.Controllers.MonsterController.Detail() ✗
[159/364] 采集: 改造蓝蝎 ✗
[160/364] 采集: 改造黄蜂（道具） ✗
[161/364] 采集: 翼龙 ✗
[162/364] 采集: 烟罗 ✗
[163/364] 采集: 亚斯普（道具） ✗
[164/364] 采集: 迅猛龙 ✗
[165/364] 采集: 蜥蜴武士 ✗
[166/364] 采集: 蜥蜴斗士 ✗
[167/364] 采集: 魔法黄金龙 ✗
[168/364] 采集: 敏捷的雏龙 ✗
[169/364] 采集: 迷你龙 ✗
[170/364] 采集: 猎豹蜥蜴 ✗
[171/364] 采集: 口袋龙 ✗
[172/364] 采集: 蛟龙（时道） ✗
[173/364] 采集: 火焰翼龙 ✗
[174/364] 采集: 地龙 ✗
[175/364] 采集: 大地翼龙 ✗
[176/364] 采集: 雏龙 ✗
[177/364] 采集: 八岐大蛇 ✗
[178/364] 采集: 真·村雨丸 ✗
[179/364] 采集: 银怪 ✗
[180/364] 采集: 魔动铠甲 ✗
[181/364] 采集: 金怪 ✗
[182/364] 采集: 黄金螃蟹 ✗
